"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"111","MYH9","TP53",22,309,23,0.242
"112","NCOR1","TP53",19,312,22,0.402
"113","NF1","SPTA1",11,136,15,0.52
"114","NF1","TP53",30,310,36,0.694
"115","NFE2L2","SPTA1",15,147,20.05,0.558
"116","NFE2L2","TP53",47,295,49,0.176
"117","NIPBL","TP53",13,320,19,0.876
"118","NOTCH1","TP53",21,312,24,0.476
"119","NOTCH2","TP53",15,317,19,0.738
"120","NSD1","TP53",17,317,22.05,0.792
"121","PDGFRA","TP53",16,318,22,0.838
"122","PIK3CA","TP53",33,311,41,0.82
"123","PIK3CG","SPTA1",15,135,17,0.208
"124","PIK3CG","TP53",36,305,40,0.516
"125","PLCB4","TP53",17,312,19,0.314
"126","PLXNB2","TP53",15,317,20,0.708
"127","POLE","TP53",13,317,16,0.638
"128","POLQ","TP53",19,320,27,0.962
"129","PTEN","SPTA1",11,128,13,0.228
"130","PTEN","TP53",24,314,30,0.77
"131","PTPRC","TP53",25,309,28,0.392
"132","PTPRD","SPTA1",12,128,14,0.212
"133","PTPRD","TP53",26,312,32,0.712
"134","RASA1","TP53",17,312,19,0.264
"135","RB1","TP53",15,315,18,0.5
"136","RET","TP53",16,312,17.05,0.214
"137","SETBP1","TP53",12,321,18,0.924
"138","SMARCA4","TP53",14,311,14,0.054
"139","SPTA1","TP53",69,296,80,0.85
"140","SPTA1","ZFHX3",14,126,14,0.078
"141","SPTAN1","TP53",13,313,13,0.118
"142","TAF1","TP53",15,314,17,0.376
"143","TBX3","TP53",11,320,16,0.844
"144","TET2","TP53",12,315,14,0.296
"145","TLR4","TP53",34,299,34,0.068
"146","TP53","USP9X",13,319,18,0.828
"147","TP53","WT1",14,317,18,0.66
"148","TP53","ZBTB20",18,313,21,0.468
"149","TP53","ZCCHC12",11,312,10,0.002
"150","TP53","ZFHX3",29,308,33,0.494
